"Type"	"File"	"Click"	"X"	"Y"	"R"	"G"	"B"	"Annotation"
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"12"	"139"	"892"	"114"	"56"	"149"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"13"	"184"	"885"	"138"	"80"	"165"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"14"	"160"	"909"	"122"	"61"	"155"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"15"	"370"	"753"	"123"	"53"	"145"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"16"	"542"	"657"	"131"	"67"	"154"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"17"	"620"	"585"	"111"	"57"	"148"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"18"	"623"	"535"	"122"	"63"	"145"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"19"	"601"	"559"	"106"	"40"	"132"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"20"	"583"	"547"	"111"	"45"	"139"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"21"	"520"	"507"	"111"	"47"	"136"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"22"	"625"	"479"	"130"	"64"	"154"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"23"	"859"	"497"	"102"	"35"	"125"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"24"	"910"	"481"	"100"	"33"	"125"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"25"	"903"	"519"	"95"	"29"	"125"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"26"	"746"	"352"	"134"	"73"	"160"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"27"	"705"	"367"	"112"	"49"	"147"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"28"	"207"	"19"	"114"	"50"	"144"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"29"	"266"	"20"	"144"	"75"	"166"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"30"	"75"	"271"	"107"	"36"	"132"	""
"Cancer"	"Slide11.mrxs_-_y0049_x0015.png"	"31"	"42"	"903"	"143"	"80"	"160"	""
"Cancer"	"Slide11.mrxs_-_y0051_x0014.png"	"1"	"1111"	"859"	"112"	"51"	"146"	""
"Cancer"	"Slide11.mrxs_-_y0051_x0014.png"	"2"	"1052"	"873"	"90"	"21"	"111"	""
"Cancer"	"Slide11.mrxs_-_y0051_x0014.png"	"3"	"1094"	"988"	"135"	"69"	"151"	""
"Cancer"	"Slide11.mrxs_-_y0051_x0014.png"	"4"	"1230"	"897"	"136"	"68"	"148"	""
"Cancer"	"Slide11.mrxs_-_y0051_x0014.png"	"5"	"967"	"727"	"129"	"67"	"153"	""
"Cancer"	"Slide11.mrxs_-_y0051_x0014.png"	"6"	"858"	"800"	"106"	"44"	"142"	""
"Cancer"	"Slide11.mrxs_-_y0051_x0014.png"	"7"	"755"	"806"	"175"	"116"	"195"	""
"Cancer"	"Slide11.mrxs_-_y0051_x0014.png"	"8"	"882"	"648"	"95"	"30"	"133"	""
"Cancer"	"Slide11.mrxs_-_y0051_x0014.png"	"9"	"881"	"596"	"118"	"54"	"144"	""
"Cancer"	"Slide11.mrxs_-_y0051_x0014.png"	"10"	"1139"	"302"	"108"	"52"	"142"	""
"Cancer"	"Slide11.mrxs_-_y0051_x0014.png"	"11"	"1105"	"319"	"111"	"53"	"138"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"1"	"857"	"918"	"61"	"0"	"65"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"2"	"884"	"903"	"54"	"0"	"49"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"3"	"902"	"984"	"58"	"2"	"62"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"4"	"854"	"983"	"56"	"0"	"61"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"5"	"817"	"995"	"61"	"3"	"64"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"6"	"779"	"963"	"59"	"4"	"81"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"7"	"758"	"953"	"76"	"9"	"76"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"8"	"807"	"1025"	"69"	"8"	"66"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"9"	"859"	"1134"	"103"	"22"	"103"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"10"	"858"	"1113"	"68"	"7"	"75"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"11"	"886"	"1176"	"50"	"3"	"53"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"12"	"921"	"1206"	"57"	"0"	"70"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"13"	"802"	"1195"	"102"	"16"	"99"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"14"	"784"	"1170"	"81"	"9"	"82"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"15"	"459"	"1191"	"98"	"18"	"86"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"16"	"467"	"1143"	"77"	"6"	"79"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"17"	"484"	"1125"	"85"	"6"	"94"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"18"	"436"	"931"	"72"	"5"	"80"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"19"	"493"	"885"	"78"	"5"	"84"	""
"Cancer"	"Slide4.mrxs_-_y0013_x0016.png"	"20"	"413"	"880"	"81"	"9"	"82"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"1"	"1179"	"144"	"73"	"6"	"88"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"2"	"1165"	"93"	"108"	"31"	"120"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"3"	"1114"	"242"	"100"	"14"	"113"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"4"	"1104"	"254"	"104"	"28"	"122"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"5"	"1085"	"273"	"89"	"17"	"107"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"6"	"1126"	"298"	"98"	"19"	"115"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"7"	"1147"	"268"	"93"	"19"	"111"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"8"	"1171"	"258"	"100"	"20"	"115"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"9"	"1183"	"255"	"103"	"23"	"120"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"10"	"1172"	"298"	"94"	"14"	"104"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"11"	"1180"	"367"	"95"	"17"	"104"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"12"	"1203"	"366"	"89"	"12"	"112"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"13"	"1219"	"369"	"92"	"17"	"105"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"14"	"1182"	"406"	"119"	"28"	"122"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"15"	"1189"	"675"	"80"	"6"	"92"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"16"	"1086"	"716"	"54"	"0"	"66"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"17"	"1072"	"735"	"118"	"43"	"130"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"18"	"1063"	"751"	"86"	"13"	"97"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"19"	"1048"	"763"	"72"	"7"	"94"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"20"	"1053"	"732"	"84"	"15"	"98"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"21"	"1038"	"721"	"71"	"4"	"89"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"22"	"1029"	"726"	"77"	"10"	"86"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"23"	"1110"	"882"	"70"	"9"	"91"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"24"	"1170"	"893"	"74"	"2"	"91"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"25"	"1173"	"866"	"77"	"6"	"84"	""
"Cancer"	"Slide4.mrxs_-_y0014_x0020.png"	"26"	"1150"	"860"	"54"	"0"	"68"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"1"	"389"	"319"	"74"	"12"	"86"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"2"	"416"	"236"	"116"	"30"	"110"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"3"	"414"	"214"	"85"	"14"	"94"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"4"	"407"	"196"	"80"	"17"	"92"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"5"	"393"	"155"	"133"	"61"	"148"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"6"	"407"	"111"	"105"	"37"	"122"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"7"	"270"	"142"	"110"	"37"	"124"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"8"	"285"	"181"	"125"	"44"	"133"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"9"	"147"	"303"	"81"	"11"	"87"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"10"	"131"	"272"	"136"	"49"	"141"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"11"	"139"	"179"	"124"	"39"	"129"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"12"	"169"	"171"	"92"	"24"	"109"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"13"	"145"	"139"	"128"	"41"	"136"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"14"	"192"	"130"	"127"	"50"	"132"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"15"	"67"	"208"	"104"	"30"	"128"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"16"	"50"	"198"	"130"	"51"	"141"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"17"	"57"	"225"	"118"	"35"	"132"	""
"Cancer"	"Slide6.mrxs_-_y0032_x0010.png"	"18"	"63"	"257"	"103"	"27"	"118"	""
"Cancer"	"Slide7.mrxs_-_y0008_x0014.png"	"1"	"502"	"346"	"55"	"5"	"69"	""
"Cancer"	"Slide7.mrxs_-_y0008_x0014.png"	"2"	"517"	"341"	"56"	"3"	"76"	""
"Cancer"	"Slide7.mrxs_-_y0008_x0014.png"	"3"	"541"	"322"	"71"	"7"	"77"	""
"Cancer"	"Slide7.mrxs_-_y0008_x0014.png"	"4"	"601"	"288"	"74"	"7"	"79"	""
"Cancer"	"Slide7.mrxs_-_y0008_x0014.png"	"5"	"520"	"542"	"60"	"3"	"73"	""
"Cancer"	"Slide7.mrxs_-_y0008_x0014.png"	"6"	"510"	"518"	"87"	"7"	"93"	""
"Cancer"	"Slide7.mrxs_-_y0008_x0014.png"	"7"	"371"	"545"	"49"	"0"	"50"	""
"Cancer"	"Slide7.mrxs_-_y0008_x0014.png"	"8"	"356"	"547"	"36"	"1"	"50"	""
"Cancer"	"Slide7.mrxs_-_y0008_x0014.png"	"9"	"355"	"565"	"51"	"0"	"53"	""
"Cancer"	"Slide7.mrxs_-_y0008_x0014.png"	"10"	"377"	"543"	"55"	"1"	"61"	""
"Cancer"	"Slide7.mrxs_-_y0008_x0014.png"	"11"	"402"	"515"	"42"	"3"	"51"	""
"Cancer"	"Slide7.mrxs_-_y0008_x0014.png"	"12"	"642"	"91"	"67"	"3"	"75"	""
"Cancer"	"Slide7.mrxs_-_y0008_x0014.png"	"13"	"680"	"142"	"47"	"7"	"89"	""
"Cancer"	"Slide7.mrxs_-_y0022_x0015.png"	"1"	"745"	"180"	"61"	"4"	"74"	""
"Cancer"	"Slide7.mrxs_-_y0022_x0015.png"	"2"	"710"	"198"	"50"	"1"	"61"	""
"Cancer"	"Slide7.mrxs_-_y0022_x0015.png"	"3"	"727"	"204"	"61"	"4"	"70"	""
"Cancer"	"Slide7.mrxs_-_y0022_x0015.png"	"4"	"814"	"243"	"52"	"3"	"63"	""
"Incorrect"	"Slide1.mrxs_-_y0012_x0018.png"	"1"	"753"	"771"	"182"	"25"	"88"	""
"Incorrect"	"Slide1.mrxs_-_y0012_x0018.png"	"2"	"851"	"638"	"180"	"27"	"94"	""
"Incorrect"	"Slide1.mrxs_-_y0012_x0018.png"	"3"	"845"	"688"	"165"	"16"	"93"	""
"Incorrect"	"Slide10.mrxs_-_y0025_x0014.png"	"1"	"884"	"928"	"147"	"46"	"117"	""
"Incorrect"	"Slide10.mrxs_-_y0025_x0014.png"	"2"	"906"	"947"	"172"	"76"	"155"	""
"Incorrect"	"Slide10.mrxs_-_y0025_x0014.png"	"3"	"943"	"980"	"153"	"47"	"135"	""
"Incorrect"	"Slide10.mrxs_-_y0025_x0014.png"	"4"	"1002"	"1018"	"194"	"120"	"173"	""
"Incorrect"	"Slide10.mrxs_-_y0025_x0014.png"	"5"	"1114"	"1106"	"170"	"71"	"144"	""
"Incorrect"	"Slide10.mrxs_-_y0025_x0014.png"	"6"	"1145"	"1139"	"180"	"75"	"159"	""
"Incorrect"	"Slide10.mrxs_-_y0025_x0014.png"	"7"	"1197"	"1182"	"160"	"71"	"149"	""
"Incorrect"	"Slide17.mrxs_-_y0038_x0011.png"	"1"	"602"	"456"	"183"	"16"	"68"	""
"Incorrect"	"Slide17.mrxs_-_y0038_x0011.png"	"2"	"645"	"500"	"164"	"8"	"48"	""
"Incorrect"	"Slide17.mrxs_-_y0038_x0011.png"	"3"	"731"	"545"	"189"	"14"	"62"	""
"Incorrect"	"Slide17.mrxs_-_y0038_x0011.png"	"4"	"816"	"493"	"177"	"15"	"46"	""
"Incorrect"	"Slide17.mrxs_-_y0038_x0011.png"	"5"	"740"	"454"	"153"	"4"	"31"	""
"Incorrect"	"Slide17.mrxs_-_y0038_x0011.png"	"6"	"795"	"461"	"156"	"5"	"34"	""
"Incorrect"	"Slide17.mrxs_-_y0038_x0011.png"	"7"	"1030"	"482"	"150"	"9"	"57"	""
"Incorrect"	"Slide17.mrxs_-_y0038_x0011.png"	"8"	"395"	"961"	"186"	"12"	"52"	""
"Incorrect"	"Slide17.mrxs_-_y0038_x0011.png"	"9"	"393"	"871"	"177"	"21"	"92"	""
"Incorrect"	"Slide17.mrxs_-_y0038_x0011.png"	"10"	"316"	"1022"	"187"	"18"	"79"	""
"Incorrect"	"Slide17.mrxs_-_y0038_x0011.png"	"11"	"281"	"978"	"151"	"13"	"84"	""
"Incorrect"	"Slide17.mrxs_-_y0040_x0004.png"	"1"	"880"	"470"	"161"	"28"	"100"	""
"Incorrect"	"Slide17.mrxs_-_y0040_x0004.png"	"2"	"883"	"340"	"198"	"48"	"137"	""
"Incorrect"	"Slide17.mrxs_-_y0040_x0004.png"	"3"	"861"	"314"	"189"	"21"	"87"	""
"Incorrect"	"Slide17.mrxs_-_y0040_x0004.png"	"4"	"872"	"283"	"237"	"192"	"213"	""
"Incorrect"	"Slide17.mrxs_-_y0040_x0004.png"	"5"	"1041"	"1052"	"150"	"13"	"83"	""
"Incorrect"	"Slide17.mrxs_-_y0046_x0020.png"	"1"	"543"	"196"	"186"	"22"	"91"	""
"Incorrect"	"Slide17.mrxs_-_y0046_x0020.png"	"2"	"627"	"260"	"204"	"19"	"90"	""
"Incorrect"	"Slide17.mrxs_-_y0046_x0020.png"	"3"	"717"	"307"	"189"	"29"	"101"	""
"Incorrect"	"Slide17.mrxs_-_y0046_x0020.png"	"4"	"883"	"381"	"196"	"16"	"61"	""
"Incorrect"	"Slide17.mrxs_-_y0046_x0020.png"	"5"	"172"	"1170"	"186"	"13"	"66"	""
"Incorrect"	"Slide17.mrxs_-_y0046_x0020.png"	"6"	"136"	"1191"	"184"	"12"	"71"	""
"Incorrect"	"Slide17.mrxs_-_y0046_x0020.png"	"7"	"89"	"1186"	"191"	"25"	"99"	""
"Incorrect"	"Slide17.mrxs_-_y0050_x0012.png"	"1"	"331"	"963"	"132"	"15"	"68"	""
"Incorrect"	"Slide17.mrxs_-_y0050_x0012.png"	"2"	"273"	"853"	"101"	"2"	"78"	""
"Incorrect"	"Slide17.mrxs_-_y0050_x0012.png"	"3"	"216"	"769"	"111"	"4"	"71"	""
"Incorrect"	"Slide6.mrxs_-_y0031_x0012.png"	"1"	"117"	"743"	"178"	"17"	"93"	""
"Incorrect"	"Slide6.mrxs_-_y0031_x0012.png"	"2"	"130"	"802"	"186"	"23"	"102"	""
"Incorrect"	"Slide6.mrxs_-_y0031_x0012.png"	"3"	"135"	"855"	"183"	"27"	"110"	""
"Incorrect"	"Slide6.mrxs_-_y0031_x0012.png"	"4"	"853"	"338"	"207"	"48"	"132"	""
"Incorrect"	"Slide6.mrxs_-_y0031_x0012.png"	"5"	"805"	"347"	"201"	"44"	"121"	""
"Incorrect"	"Slide6.mrxs_-_y0031_x0012.png"	"6"	"683"	"341"	"190"	"24"	"100"	""
"Incorrect"	"Slide6.mrxs_-_y0032_x0010.png"	"1"	"623"	"413"	"174"	"25"	"103"	""
"Incorrect"	"Slide6.mrxs_-_y0032_x0010.png"	"2"	"598"	"461"	"175"	"27"	"104"	""
"Incorrect"	"Slide6.mrxs_-_y0032_x0010.png"	"3"	"561"	"472"	"179"	"27"	"104"	""
"Incorrect"	"Slide6.mrxs_-_y0032_x0010.png"	"4"	"547"	"539"	"167"	"19"	"104"	""
"Incorrect"	"Slide6.mrxs_-_y0032_x0010.png"	"5"	"539"	"579"	"182"	"35"	"116"	""
"Incorrect"	"Slide6.mrxs_-_y0032_x0010.png"	"6"	"409"	"614"	"176"	"18"	"96"	""
